event,replicate,comparison,gain,training_rows,unique_original_training_sources,default_minus_style_risk
answer_reveal,120,default_vs_context,0.08979607714357887,1240,19,-0.06988285436678338
answer_reveal,120,student_state_vs_domain,-0.0005545573888020988,1240,19,-0.06988285436678338
answer_reveal,121,default_vs_context,0.08834201515887208,1200,21,-0.07725764917220249
answer_reveal,121,student_state_vs_domain,-0.0003024040735017941,1200,21,-0.07725764917220249
answer_reveal,122,default_vs_context,0.09011340774282797,1240,18,-0.07915068594590643
answer_reveal,122,student_state_vs_domain,-6.583109763920458e-05,1240,18,-0.07915068594590643
answer_reveal,123,default_vs_context,0.08643008454731875,1280,20,-0.07668342861835352
answer_reveal,123,student_state_vs_domain,-0.00021829491024442926,1280,20,-0.07668342861835352
answer_reveal,124,default_vs_context,0.09129463511884525,1240,21,-0.08003522220501288
answer_reveal,124,student_state_vs_domain,-0.00022898636069899891,1240,21,-0.08003522220501288
answer_reveal,125,default_vs_context,0.09210292813752635,1280,19,-0.0629646375951878
answer_reveal,125,student_state_vs_domain,-1.5887843480860697e-05,1280,19,-0.0629646375951878
answer_reveal,126,default_vs_context,0.08849453359389182,1280,18,-0.07460491001992021
answer_reveal,126,student_state_vs_domain,0.00022339991613308519,1280,18,-0.07460491001992021
answer_reveal,127,default_vs_context,0.09244711591221472,1240,18,-0.07844355142357506
answer_reveal,127,student_state_vs_domain,6.49654263175023e-05,1240,18,-0.07844355142357506
answer_reveal,128,default_vs_context,0.08862313860797444,1280,16,-0.061479333379130474
answer_reveal,128,student_state_vs_domain,0.00036500365117261846,1280,16,-0.061479333379130474
answer_reveal,129,default_vs_context,0.08817108456949611,1280,20,-0.0817688328005551
answer_reveal,129,student_state_vs_domain,-0.00017807956912818668,1280,20,-0.0817688328005551
answer_reveal,130,default_vs_context,0.08900910277260715,1240,21,-0.07430068775625076
answer_reveal,130,student_state_vs_domain,-0.00020768626508280152,1240,21,-0.07430068775625076
answer_reveal,131,default_vs_context,0.08953182654293368,1360,22,-0.07090878565930608
answer_reveal,131,student_state_vs_domain,0.00022406362681558212,1360,22,-0.07090878565930608
answer_reveal,132,default_vs_context,0.09038954915092103,1240,19,-0.07107618462836561
answer_reveal,132,student_state_vs_domain,6.315861713192261e-05,1240,19,-0.07107618462836561
answer_reveal,133,default_vs_context,0.09160150779311059,1400,19,-0.08114969451521849
answer_reveal,133,student_state_vs_domain,0.00017542612885873554,1400,19,-0.08114969451521849
answer_reveal,134,default_vs_context,0.08875623217550857,1240,18,-0.07388551264829518
answer_reveal,134,student_state_vs_domain,0.0005259492851901748,1240,18,-0.07388551264829518
answer_reveal,135,default_vs_context,0.0919615178402044,1280,17,-0.07256492326068331
answer_reveal,135,student_state_vs_domain,-6.966297858595344e-05,1280,17,-0.07256492326068331
answer_reveal,136,default_vs_context,0.09028438227271071,1320,21,-0.0718273182027247
answer_reveal,136,student_state_vs_domain,-0.0003027082157693872,1320,21,-0.0718273182027247
