classifier_variant,family,target_act,model,context_count,generic_match,pedagogy_match,mean_delta,context_bootstrap_ci_low,context_bootstrap_ci_high
hybrid_svm,standard,generic,doubao-seed-2.0-pro,77,0.16883116883116883,0.19480519480519481,0.025974025974025976,-0.07792207792207792,0.12987012987012986
hybrid_svm,standard,generic,glm-5.2,77,0.12987012987012986,0.15584415584415584,0.025974025974025976,-0.06493506493506493,0.12987012987012986
hybrid_svm,standard,generic,minimax-m2.7,77,0.03896103896103896,0.1038961038961039,0.06493506493506493,-0.012987012987012988,0.14285714285714285
hybrid_svm,standard,generic,minimax-m3,77,0.16883116883116883,0.19480519480519481,0.025974025974025976,-0.09090909090909091,0.14285714285714285
hybrid_svm,standard,generic,qwen3.5-4b,77,0.1038961038961039,0.19480519480519481,0.09090909090909091,0.0,0.18181818181818182
hybrid_svm,standard,generic,qwen3.8-27b,77,0.11688311688311688,0.11688311688311688,0.0,-0.06493506493506493,0.06493506493506493
hybrid_svm,standard,probing,deepseek-v4-flash,410,0.21707317073170732,0.4024390243902439,0.18536585365853658,0.12439024390243902,0.24390243902439024
hybrid_svm,standard,probing,deepseek-v4-pro,410,0.2658536585365854,0.3975609756097561,0.13170731707317074,0.07317073170731707,0.1902439024390244
hybrid_svm,standard,probing,doubao-seed-2.0-lite,410,0.2,0.32439024390243903,0.12439024390243902,0.06585365853658537,0.18048780487804877
hybrid_svm,standard,probing,doubao-seed-2.0-pro,410,0.15853658536585366,0.3463414634146341,0.1878048780487805,0.13170731707317074,0.24390243902439024
hybrid_svm,standard,probing,glm-5.2,410,0.32926829268292684,0.47073170731707314,0.14146341463414633,0.08292682926829269,0.1975609756097561
hybrid_svm,standard,probing,minimax-m2.7,410,0.13902439024390245,0.375609756097561,0.23658536585365852,0.18048780487804877,0.2926829268292683
hybrid_svm,standard,probing,minimax-m3,410,0.23170731707317074,0.43902439024390244,0.2073170731707317,0.15121951219512195,0.2658536585365854
hybrid_svm,standard,probing,qwen3.5-4b,410,0.17804878048780487,0.37073170731707317,0.1926829268292683,0.13896341463414638,0.24634146341463414
hybrid_svm,standard,probing,qwen3.8-27b,410,0.17560975609756097,0.3804878048780488,0.2048780487804878,0.15121951219512195,0.25853658536585367
hybrid_svm,standard,telling,deepseek-v4-flash,48,0.4166666666666667,0.16666666666666666,-0.25,-0.4166666666666667,-0.08333333333333333
hybrid_svm,standard,telling,deepseek-v4-pro,48,0.3125,0.0625,-0.25,-0.3958333333333333,-0.125
hybrid_svm,standard,telling,doubao-seed-2.0-lite,48,0.375,0.020833333333333332,-0.3541666666666667,-0.5,-0.20833333333333334
hybrid_svm,standard,telling,doubao-seed-2.0-pro,48,0.3125,0.041666666666666664,-0.2708333333333333,-0.4166666666666667,-0.14583333333333334
hybrid_svm,standard,telling,glm-5.2,48,0.3125,0.041666666666666664,-0.2708333333333333,-0.4166666666666667,-0.125
hybrid_svm,standard,telling,minimax-m2.7,48,0.6875,0.1875,-0.5,-0.6666666666666666,-0.33281249999999807
hybrid_svm,standard,telling,minimax-m3,48,0.5,0.16666666666666666,-0.3333333333333333,-0.5,-0.16666666666666666
hybrid_svm,standard,telling,qwen3.5-4b,48,0.4166666666666667,0.14583333333333334,-0.2708333333333333,-0.4583333333333333,-0.08333333333333333
hybrid_svm,standard,telling,qwen3.8-27b,48,0.6458333333333334,0.2916666666666667,-0.3541666666666667,-0.5,-0.1875
word_svm,hard,generic,deepseek-v4-flash,1,0.0,0.0,0.0,0.0,0.0
word_svm,hard,generic,deepseek-v4-pro,1,0.0,0.0,0.0,0.0,0.0
word_svm,hard,generic,doubao-seed-2.0-lite,1,1.0,0.0,-1.0,-1.0,-1.0
word_svm,hard,generic,doubao-seed-2.0-pro,1,0.0,0.0,0.0,0.0,0.0
word_svm,hard,generic,glm-5.2,1,0.0,0.0,0.0,0.0,0.0
word_svm,hard,generic,minimax-m2.7,1,0.0,0.0,0.0,0.0,0.0
word_svm,hard,generic,minimax-m3,1,0.0,0.0,0.0,0.0,0.0
word_svm,hard,generic,qwen3.5-4b,1,0.0,0.0,0.0,0.0,0.0
word_svm,hard,generic,qwen3.8-27b,1,0.0,0.0,0.0,0.0,0.0
word_svm,hard,probing,deepseek-v4-flash,265,0.16226415094339622,0.3283018867924528,0.1660377358490566,0.1018867924528302,0.2339622641509434
word_svm,hard,probing,deepseek-v4-pro,265,0.2037735849056604,0.35471698113207545,0.1509433962264151,0.08679245283018867,0.21509433962264152
word_svm,hard,probing,doubao-seed-2.0-lite,265,0.1471698113207547,0.2490566037735849,0.1018867924528302,0.04150943396226415,0.16226415094339622
word_svm,hard,probing,doubao-seed-2.0-pro,265,0.18867924528301888,0.33962264150943394,0.1509433962264151,0.0830188679245283,0.21509433962264152
word_svm,hard,probing,glm-5.2,265,0.2679245283018868,0.39622641509433965,0.12830188679245283,0.052830188679245285,0.2037735849056604
word_svm,hard,probing,minimax-m2.7,265,0.12830188679245283,0.27169811320754716,0.14339622641509434,0.07924528301886792,0.20754716981132076
word_svm,hard,probing,minimax-m3,265,0.18867924528301888,0.37358490566037733,0.18490566037735848,0.11320754716981132,0.25660377358490566
word_svm,hard,probing,qwen3.5-4b,265,0.1471698113207547,0.30566037735849055,0.15849056603773584,0.08679245283018867,0.22641509433962265
word_svm,hard,probing,qwen3.8-27b,265,0.19622641509433963,0.32452830188679244,0.12830188679245283,0.06037735849056604,0.19245283018867926
